"NEW.ID","CID","GROUP","BGD.MORALITY","BGD.TOTAL","BGD.SPECCODE","BGD.MORPROP","BGD.MORVIRTPROP","BGD.SPECPROP","RAG.ORDER","RAG.CHECK","DG.ORDER","DG.CHECK","CHILDREN","MAT","DIEPUN","OMNI.BG","MORINDEX","TYPE","SELF","RAG","Y"
1014,484,"Turkana",2,5,0,0.4,0.4,0,1,0,0,NA,4,0,1,1,2.33333333333333,"RAG.SELF",1,1,16
1014,484,"Turkana",2,5,0,0.4,0.4,0,1,0,0,NA,4,0,1,1,2.33333333333333,"DG.LOCAL",0,0,NA
1014,484,"Turkana",2,5,0,0.4,0.4,0,1,0,0,NA,4,0,1,1,2.33333333333333,"DG.SELF",1,0,NA
1015,NA,"China-Christians",2,5,3,0.4,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.LOCAL",0,1,NA
1015,NA,"China-Christians",2,5,3,0.4,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.SELF",1,1,NA
1015,NA,"China-Christians",2,5,3,0.4,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.LOCAL",0,0,NA
1015,NA,"China-Christians",2,5,3,0.4,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.SELF",1,0,NA
1016,1791,"Hadza",0,1,0,0,0,0,0,NA,0,NA,2,1,NA,NA,NA,"RAG.LOCAL",0,1,16
1016,1791,"Hadza",0,1,0,0,0,0,0,NA,0,NA,2,1,NA,NA,NA,"RAG.SELF",1,1,12
1016,1791,"Hadza",0,1,0,0,0,0,0,NA,0,NA,2,1,NA,NA,NA,"DG.LOCAL",0,0,NA
1016,1791,"Hadza",0,1,0,0,0,0,0,NA,0,NA,2,1,NA,NA,NA,"DG.SELF",1,0,NA
1017,NA,"China-Buddhists",4,5,1,0.8,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.LOCAL",0,1,NA
1017,NA,"China-Buddhists",4,5,1,0.8,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.SELF",1,1,NA
1017,NA,"China-Buddhists",4,5,1,0.8,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.LOCAL",0,0,NA
1017,NA,"China-Buddhists",4,5,1,0.8,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.SELF",1,0,NA
1018,1963,"Lovu Fiji",1,2,1,0.5,0.5,0.5,0,0,0,NA,2,1,1,1,4,"RAG.LOCAL",0,1,17
1018,1963,"Lovu Fiji",1,2,1,0.5,0.5,0.5,0,0,0,NA,2,1,1,1,4,"RAG.SELF",1,1,14
1018,1963,"Lovu Fiji",1,2,1,0.5,0.5,0.5,0,0,0,NA,2,1,1,1,4,"DG.LOCAL",0,0,NA
1018,1963,"Lovu Fiji",1,2,1,0.5,0.5,0.5,0,0,0,NA,2,1,1,1,4,"DG.SELF",1,0,NA
1019,485,"Turkana",3,5,1,0.6,0.6,0.2,0,0,0,NA,4,0,1,1,3.33333333333333,"RAG.LOCAL",0,1,12
1019,485,"Turkana",3,5,1,0.6,0.6,0.2,0,0,0,NA,4,0,1,1,3.33333333333333,"RAG.SELF",1,1,12
1019,485,"Turkana",3,5,1,0.6,0.6,0.2,0,0,0,NA,4,0,1,1,3.33333333333333,"DG.LOCAL",0,0,NA
1019,485,"Turkana",3,5,1,0.6,0.6,0.2,0,0,0,NA,4,0,1,1,3.33333333333333,"DG.SELF",1,0,NA
1020,1964,"Lovu Fiji",1,3,1,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,NA,4,1,1,1,3.33333333333333,"RAG.LOCAL",0,1,16
